epoch,train_loss,accuracy,f1_macro,f1_binary,precision,precision_binary,recall,recall_binary,auc_roc
1,0.6627006238223585,0.6425884123401053,0.6379766261159198,0.6788370520622042,0.6412556888512475,0.6494178525226391,0.6380280921612048,0.7110481586402266,0.6952196035813186
2,0.6027360167240072,0.6222723852520692,0.5755344327378226,0.7163841807909604,0.662083274223294,0.5958646616541353,0.6039041647151906,0.8980169971671388,0.7061918251719952
3,0.4863247359457192,0.6471030850263356,0.6330590160016154,0.7048458149779736,0.6534236627071388,0.6342015855039638,0.6373710320618046,0.7932011331444759,0.709779509728582
4,0.3751968664625671,0.6305492851768246,0.6197469210082369,0.6838377334191886,0.631923998295179,0.6269185360094451,0.6224507659638321,0.7521246458923513,0.6976864209095167
