model,trust_category,n_samples,f1_macro,accuracy,precision,recall,error_rate
SVM,hoog (6.5-10),140,0.5413306451612903,0.8142857142857143,0.5378151260504201,0.5665961945031712,0.18571428571428572
SVM,laag (1-3.5),474,0.5061884494149912,0.5063291139240507,0.5968330293483668,0.5999144568006843,0.49367088607594933
SVM,middel (3.5-6.5),698,0.563032521619184,0.66189111747851,0.5781202707120113,0.5621358755838028,0.33810888252148996
LR,hoog (6.5-10),140,0.5176252319109462,0.7214285714285714,0.5363777089783281,0.5993657505285412,0.2785714285714286
LR,laag (1-3.5),474,0.5996220418330971,0.6265822784810127,0.6054006811669941,0.6250855431993156,0.37341772151898733
LR,middel (3.5-6.5),698,0.5965860215053764,0.6303724928366762,0.5966358585729281,0.6090423226924744,0.3696275071633238
