model,length_category,n_samples,f1_macro,accuracy,precision,recall,error_rate
SVM,kort,77,0.5125700850063302,0.5454545454545454,0.5216194968553459,0.5189393939393939,0.4545454545454546
SVM,lang,223,0.6308666017526777,0.695067264573991,0.6927590511860175,0.6316283034953112,0.30493273542600896
SVM,middellang,983,0.5639876078174473,0.6032553407934893,0.6008649386084584,0.5774307737421976,0.3967446592065107
SVM,zeer_lang,29,0.6716981132075472,0.896551724137931,0.9464285714285714,0.625,0.10344827586206895
LR,kort,77,0.621075852706601,0.6233766233766234,0.6224696356275303,0.625,0.37662337662337664
LR,lang,223,0.6522547155704612,0.672645739910314,0.6526207605344296,0.6519181585677749,0.32735426008968604
LR,middellang,983,0.6215858410403268,0.624618514750763,0.6213963607924053,0.6222466591261363,0.375381485249237
LR,zeer_lang,29,0.7563025210084033,0.896551724137931,0.7948717948717949,0.73,0.10344827586206895
